[TRAIN] Step   172/10000 | Loss: 6.8655 | LR: 0.000086 | dt: 712.21ms | tok/sec: 1437.77
[TRAIN] Step   173/10000 | Loss: 6.8983 | LR: 0.000087 | dt: 714.88ms | tok/sec: 1432.41
[TRAIN] Step   174/10000 | Loss: 6.7356 | LR: 0.000087 | dt: 719.51ms | tok/sec: 1423.18
[TRAIN] Step   175/10000 | Loss: 6.7923 | LR: 0.000088 | dt: 716.00ms | tok/sec: 1430.17
[TRAIN] Step   176/10000 | Loss: 6.6302 | LR: 0.000088 | dt: 712.06ms | tok/sec: 1438.07
[TRAIN] Step   177/10000 | Loss: 6.6802 | LR: 0.000088 | dt: 715.06ms | tok/sec: 1432.05
[TRAIN] Step   178/10000 | Loss: 6.9377 | LR: 0.000089 | dt: 712.64ms | tok/sec: 1436.92
[TRAIN] Step   179/10000 | Loss: 6.9718 | LR: 0.000089 | dt: 726.34ms | tok/sec: 1409.82
[TRAIN] Step   180/10000 | Loss: 6.8040 | LR: 0.000090 | dt: 734.53ms | tok/sec: 1394.08
[TRAIN] Step   181/10000 | Loss: 6.8991 | LR: 0.000090 | dt: 735.99ms | tok/sec: 1391.32
[TRAIN] Step   182/10000 | Loss: 6.7556 | LR: 0.000091 | dt: 739.83ms | tok/sec: 1384.11
[TRAIN] Step   183/10000 | Loss: 6.6603 | LR: 0.000092 | dt: 735.09ms | tok/sec: 1393.03
[TRAIN] Step   184/10000 | Loss: 6.2811 | LR: 0.000092 | dt: 711.32ms | tok/sec: 1439.58
[TRAIN] Step   185/10000 | Loss: 6.6817 | LR: 0.000092 | dt: 716.20ms | tok/sec: 1429.77
[TRAIN] Step   186/10000 | Loss: 6.7528 | LR: 0.000093 | dt: 714.17ms | tok/sec: 1433.84
[TRAIN] Step   187/10000 | Loss: 6.5862 | LR: 0.000093 | dt: 705.84ms | tok/sec: 1450.76
[TRAIN] Step   188/10000 | Loss: 6.5738 | LR: 0.000094 | dt: 712.61ms | tok/sec: 1436.98
[TRAIN] Step   189/10000 | Loss: 6.4031 | LR: 0.000095 | dt: 712.27ms | tok/sec: 1437.66
[TRAIN] Step   190/10000 | Loss: 6.1695 | LR: 0.000095 | dt: 713.10ms | tok/sec: 1435.99
[TRAIN] Step   191/10000 | Loss: 6.4383 | LR: 0.000096 | dt: 711.87ms | tok/sec: 1438.46
[TRAIN] Step   192/10000 | Loss: 6.3732 | LR: 0.000096 | dt: 713.12ms | tok/sec: 1435.93
[TRAIN] Step   193/10000 | Loss: 6.6851 | LR: 0.000097 | dt: 712.46ms | tok/sec: 1437.27
[TRAIN] Step   194/10000 | Loss: 6.3449 | LR: 0.000097 | dt: 711.44ms | tok/sec: 1439.33
[TRAIN] Step   195/10000 | Loss: 6.4017 | LR: 0.000097 | dt: 713.67ms | tok/sec: 1434.83
[TRAIN] Step   196/10000 | Loss: 6.1992 | LR: 0.000098 | dt: 712.12ms | tok/sec: 1437.95
[TRAIN] Step   197/10000 | Loss: 6.1555 | LR: 0.000099 | dt: 726.57ms | tok/sec: 1409.37
[TRAIN] Step   198/10000 | Loss: 6.1563 | LR: 0.000099 | dt: 748.06ms | tok/sec: 1368.87
[TRAIN] Step   199/10000 | Loss: 6.2086 | LR: 0.000100 | dt: 744.88ms | tok/sec: 1374.71
[TRAIN] Step   200/10000 | Loss: 6.0535 | LR: 0.000100 | dt: 4046.75ms | tok/sec:  253.04
[TRAIN] Step   201/10000 | Loss: 6.1253 | LR: 0.000101 | dt: 704.97ms | tok/sec: 1452.55
[TRAIN] Step   202/10000 | Loss: 5.9261 | LR: 0.000101 | dt: 708.85ms | tok/sec: 1444.60
[TRAIN] Step   203/10000 | Loss: 5.9329 | LR: 0.000102 | dt: 709.55ms | tok/sec: 1443.17
[TRAIN] Step   204/10000 | Loss: 6.0062 | LR: 0.000102 | dt: 708.38ms | tok/sec: 1445.56
[TRAIN] Step   205/10000 | Loss: 5.7791 | LR: 0.000103 | dt: 712.69ms | tok/sec: 1436.82
[TRAIN] Step   206/10000 | Loss: 6.2714 | LR: 0.000103 | dt: 714.08ms | tok/sec: 1434.01
[TRAIN] Step   207/10000 | Loss: 6.3575 | LR: 0.000104 | dt: 713.52ms | tok/sec: 1435.14
[TRAIN] Step   208/10000 | Loss: 5.4999 | LR: 0.000104 | dt: 709.06ms | tok/sec: 1444.16
[TRAIN] Step   209/10000 | Loss: 5.7120 | LR: 0.000104 | dt: 711.97ms | tok/sec: 1438.27
[TRAIN] Step   210/10000 | Loss: 6.3188 | LR: 0.000105 | dt: 708.29ms | tok/sec: 1445.74
[TRAIN] Step   211/10000 | Loss: 6.7350 | LR: 0.000106 | dt: 733.30ms | tok/sec: 1396.42
[TRAIN] Step   212/10000 | Loss: 6.6505 | LR: 0.000106 | dt: 739.40ms | tok/sec: 1384.91
[TRAIN] Step   213/10000 | Loss: 6.6416 | LR: 0.000107 | dt: 737.38ms | tok/sec: 1388.69
[TRAIN] Step   214/10000 | Loss: 6.5000 | LR: 0.000107 | dt: 740.36ms | tok/sec: 1383.11
[TRAIN] Step   215/10000 | Loss: 6.7041 | LR: 0.000107 | dt: 735.04ms | tok/sec: 1393.12
[TRAIN] Step   216/10000 | Loss: 6.5264 | LR: 0.000108 | dt: 716.15ms | tok/sec: 1429.87
[TRAIN] Step   217/10000 | Loss: 6.4749 | LR: 0.000108 | dt: 706.47ms | tok/sec: 1449.46
[TRAIN] Step   218/10000 | Loss: 6.2247 | LR: 0.000109 | dt: 707.64ms | tok/sec: 1447.05
[TRAIN] Step   219/10000 | Loss: 6.4314 | LR: 0.000110 | dt: 709.77ms | tok/sec: 1442.72
[TRAIN] Step   220/10000 | Loss: 6.3935 | LR: 0.000110 | dt: 708.87ms | tok/sec: 1444.54
[TRAIN] Step   221/10000 | Loss: 6.4174 | LR: 0.000111 | dt: 710.43ms | tok/sec: 1441.38
[TRAIN] Step   222/10000 | Loss: 6.1300 | LR: 0.000111 | dt: 711.44ms | tok/sec: 1439.33
[TRAIN] Step   223/10000 | Loss: 6.2045 | LR: 0.000111 | dt: 711.96ms | tok/sec: 1438.29
[TRAIN] Step   224/10000 | Loss: 6.4901 | LR: 0.000112 | dt: 713.91ms | tok/sec: 1434.36
[TRAIN] Step   225/10000 | Loss: 6.3397 | LR: 0.000112 | dt: 709.82ms | tok/sec: 1442.62
[TRAIN] Step   226/10000 | Loss: 6.2590 | LR: 0.000113 | dt: 706.54ms | tok/sec: 1449.32
[TRAIN] Step   227/10000 | Loss: 6.2888 | LR: 0.000114 | dt: 708.94ms | tok/sec: 1444.40
[TRAIN] Step   228/10000 | Loss: 6.8239 | LR: 0.000114 | dt: 714.16ms | tok/sec: 1433.86
[TRAIN] Step   229/10000 | Loss: 6.5013 | LR: 0.000115 | dt: 723.08ms | tok/sec: 1416.16
